['1990', 'Drilling S112', 'J07.S112/D']
['280', 'Eastern Avenue Auditorium', 'F19.201']
['578', 'Eastern Avenue Foyer', 'F19.200']
['326', 'Eastern Avenue LT 315', 'F19.315']
['35', 'Eastern Avenue Sem 115', 'F19.115']
['129', 'Eastern Avenue Sem 116', 'F19.116']
['130', 'Eastern Avenue Sem 119', 'F19.119']
['112', 'Eastern Avenue Sem 120', 'F19.120']
['28', 'Eastern Avenue Sem 121', 'F19.121']
['393', 'Eastern Avenue Sem 310', 'F19.310']
['395', 'Eastern Avenue Sem 311', 'F19.311']
['477', 'Eastern Avenue Sem 312', 'F19.312']
['478', 'Eastern Avenue Sem 403', 'F19.403']
['479', 'Eastern Avenue Sem 404', 'F19.404']
['480', 'Eastern Avenue Sem 405', 'F19.405']
['507', 'Eastern Avenue Sem 406', 'F19.406']
['1904', 'EAS Z3 Flags', 'F19.FL03']
['1902', 'EA Z1 Flags', 'F19.FL01']
['1857', 'EA Z1 Madsen Gardens', 'F11.AR1']
['1858', 'EA Z2 Chem Gardens &amp; BBQ', 'F11.BBQ1']
['1903', 'EA Z2 Flags', 'F19.FL02']
['1859', 'EA Z3 Anderson Stuart', 'F11.AR3']
['1860', 'EA Z4 New Law Lawns', 'F11.AR4']
['1861', 'EA Z5 N Law Annex Facade', 'F11.AR5']
